user_id,career_level,discipline_id,industry_id,country,region,experience_n_entries_class,experience_years_experience,experience_years_in_current,edu_degree_average_rating
"1013734","3","0","0","non_dach","0","3","5","3","1","1.72223"
"10140","0","6","11","de","0","2","3","2","2","1"
"1014010","2","0","1","de","6","3","5","2","2","1"
"1014111",NULL,"0","0","non_dach","0","2","4","0","0","1.15432"
"1014128","6","0","0","de","0","2","3","3","0","1"
"1014194",NULL,"0","0","de","0","3","6","5","0","1.04348"
"1014200",NULL,"0","0","de","7","3","3","3","2","0"
"1014284","0","0","10","de","0","3","7","5","0","1"
"1014304","4","0","0","de","0","2","7","4","0","1"
"1014434","3","0","0","de","0","1","4","2","0","1"
"101454","3","10","8","de","1","3","4","2","1","1"
"1014654","0","0","15","de","2","2","7","6","0","1.25"
"1014713","4","0","0","de","0","3","4","1","2","0"
"1014733","3","18","10","de","13","1","3","3","2","1"
"1014739","3","0","1","de","9","2","6","3","0","1"
"1014915",NULL,"0","0","de","3","3","4","0","2","1.08333"
"1014935",NULL,"0","0","de","13","2","3","0","0","1.33333"
"1014976","3","0","0","de","0","2","6","6","0","1"
"1015058","3","0","0","de","0","3","5","1","3","1"
"1015106","4","0","0","non_dach","0","3","4","2","0","1"
"101514","4","0","0","de","0","3","7","2","0","1"
"1015289","3","10","17","de","9","3","5","2","2","1.37174"
"1015370","0","0","19","de","2","1","0","0","0","1"
"1015380","4","6","11","de","2","3","4","2","2","1"
"1015384","3","14","1","de","1","1","4","3","2","1"
"1015390","0","0","15","de","0","2","4","3","2","1.06944"
"101541","4","6","5","ch","0","3","7","1","0","1"
"1015462","4","0","0","de","0","2","6","4","0","1"
"1015576","0","0","0","de","0","2","2","2","0","1"
"1015621","0","0","8","de","1","1","0","0","0","1"
"1015671","4","0","0","de","0","3","5","5","0","1"
"1015786","4","7","21","de","7","2","7","2","0","1"
"1015796","3","0","21","at","0","1","6","6","0","1"
"1015833",NULL,"0","0","de","3","3","4","1","0","0"
"1015853","6","0","0","de","0","3","0","0","0","1"
"101587",NULL,"0","0","de","0","1","4","4","0","1.22988"
"1015913","3","0","1","ch","0","2","5","3","0","1.14444"
"1015938","0","0","10","de","9","3","7","6","3","0"
"101595","4","16","15","de","0","3","4","2","0","1"
"1016093",NULL,"0","0","de","2","2","4","0","0","0"
"1016131","0","0","18","de","6","3","6","3","0","1.00758"
"1016144",NULL,"0","0","non_dach","0","3","5","3","2","1"
"1016175","3","0","0","de","0","3","5","1","1","1.125"
"1016264","3","0","0","de","0","1","5","5","0","1.16667"
"1016282","0","0","0","de","0","3","3","1","2","1"
"1016332","0","0","0","de","0","2","6","0","0","1"
"101636",NULL,"0","0","de","2","3","0","0","0","1"
"1016456","4","13","8","de","0","3","6","2","2","1.33055"
"101656","3","0","0","de","0","1","4","4","0","1"
"1016635",NULL,"0","0","non_dach","0","1","1","1","0","1"
"101666","6","2","14","de","3","3","7","3","2","1.14814"
"1016685","4","0","0","at","0","3","4","3","2","1"
"1016723","0","0","13","de","10","3","7","0","0","0"
"1016783","3","23","1","de","1","3","5","1","1","1"
"1016798","0","0","15","de","7","1","1","1","0","1"
"1016830",NULL,"0","0","de","9","3","4","4","2","1"
"1016905","4","1","15","de","10","3","6","1","0","1"
"1016942","3","7","14","non_dach","0","3","6","1","0","1"
"1016949","3","11","21","de","2","3","5","2","2","1"
"1017050",NULL,"0","0","at","0","2","3","0","2","1"
"1017093",NULL,"0","0","de","6","3","4","0","1","1.16667"
"1017223","4","0","0","de","0","2","4","3","0","1.05051"
"1017242","6","0","0","de","0","3","7","3","0","0"
"1017318","6","0","0","de","0","3","7","1","2","1"
"1017438","0","0","0","at","0","2","4","4","2","1"
"1017738","4","0","0","de","0","2","6","4","2","1"
"101774",NULL,"0","0","de","7","3","6","0","2","1.10294"
"1017861","0","0","0","de","0","2","4","0","1","1"
"1017870",NULL,"0","0","de","0","3","2","1","1","0"
"1018018",NULL,"0","0","de","3","2","5","0","2","1"
"1018049",NULL,"0","0","de","0","1","0","0","0","1"
"1018140","0","0","1","non_dach","0","1","0","0","0","1"
"1018197","3","20","1","de","9","1","2","2","0","1"
"1018223","3","0","0","de","0","2","5","0","0","1.06771"
"1018296",NULL,"0","0","de","9","2","5","0","1","1"
"1018433",NULL,"0","0","de","0","2","2","0","1","1.26316"
"1018472","0","0","0","de","0","1","3","1","0","1"
"1018563","0","0","0","de","0","1","6","3","0","1"
"101857","0","3","8","de","9","1","3","1","1","0"
"1018656","0","0","14","de","9","1","0","0","0","1.5"
"1018680","0","0","14","non_dach","0","3","4","1","2","1"
"1018782",NULL,"0","0","non_dach","0","3","5","5","2","1"
"1018817","3","0","23","de","1","3","4","2","0","1"
"1018872","4","3","21","de","2","2","6","2","0","1.25"
"1018926","3","0","23","de","9","3","6","2","2","0"
"1018979",NULL,"0","0","de","1","3","4","3","1","1"
"1018988",NULL,"0","0","de","6","1","0","0","0","1"
"1018995","0","3","1","de","0","2","5","2","0","1"
"1019006","0","2","14","de","9","3","7","4","0","1"
"1019038","3","14","21","de","2","2","4","2","2","1"
"1019152","5","19","22","de","0","3","7","3","2","0"
"1019179",NULL,"0","0","at","0","3","6","0","0","1"
"1019243","2","0","0","de","0","1","3","3","1","1"
"1019457","0","0","18","de","6","3","5","2","0","1"
"1019581",NULL,"0","0","de","1","3","7","0","2","1.04"
"1019703","3","14","21","non_dach","0","2","5","3","0","1.18024"
"1019742","0","0","1","de","1","2","5","0","0","1.52778"
"1019744",NULL,"0","0","de","0","1","2","0","1","1.17333"
"1019829","3","0","18","de","2","3","5","4","2","1"
"1019886","4","7","21","de","9","3","7","1","2","1"
"102002","0","0","18","de","13","1","0","0","0","0"
"1020031","3","3","15","de","10","1","4","4","0","1.21083"
"1020047","3","2","2","de","1","3","5","2","0","1"
"1020065","3","0","0","de","0","1","7","6","0","1"
"1020087","0","0","20","de","6","1","6","6","3","1.1"
"1020128","0","0","14","de","10","3","4","2","0","1"
"102013",NULL,"0","0","de","2","3","3","0","2","1"
"1020255","0","0","0","de","0","3","7","1","0","1"
"1020433",NULL,"0","0","de","2","3","5","1","1","1"
"1020454",NULL,"0","0","de","7","3","6","0","0","1"
"1020458",NULL,"0","0","de","10","1","0","0","0","1"
"102054","0","0","0","de","0","3","3","3","1","1"
"1020558","0","0","9","de","2","1","5","3","0","1"
"1020604","3","0","0","de","0","2","4","1","1","1"
"1020698",NULL,"0","0","de","9","3","3","0","2","1.09259"
"1020701","0","0","0","de","0","3","7","1","0","1.38094"
"1020736","0","0","15","de","6","2","4","1","0","1"
"1020775","5","0","0","ch","0","3","6","3","0","1"
"1020935","0","0","21","de","1","3","4","2","0","0"
"1020992","0","9","18","de","2","3","5","2","0","0"
"1021064","3","3","8","de","2","3","5","2","1","1"
"102115","3","0","0","de","0","2","4","0","0","1"
"1021159","0","0","8","de","1","2","2","2","0","1"
"1021163","0","0","22","de","1","3","5","1","1","1.27551"
"1021268","4","7","1","de","2","3","7","2","0","0"
"102132",NULL,"0","0","de","6","1","0","0","0","1"
"1021374","4","0","0","ch","0","2","7","5","2","1"
"1021396","2","0","21","at","0","3","6","3","0","0"
"1021403","0","0","0","de","0","1","4","3","0","1.07051"
"102145","0","0","0","de","0","1","5","3","1","1"
"1021627",NULL,"0","0","de","9","2","0","0","0","1.00606"
"102168","3","0","20","de","9","3","5","3","0","1"
"1021750","3","2","21","at","0","3","7","2","0","0"
"1021754",NULL,"0","0","at","0","1","4","0","0","1"
"1021890","3","20","1","de","2","2","4","2","3","1"
"1021957","3","0","0","non_dach","0","2","4","1","1","1"
"1021961","3","0","1","de","2","2","6","4","0","1"
"1022028","4","2","14","de","1","1","7","7","2","1"
"102204","3","6","1","de","1","3","6","2","0","1"
"1022057","0","0","20","de","2","3","3","1","2","1"
"1022153","0","0","15","de","9","3","7","0","0","1"
"1022182","4","6","11","ch","0","2","5","3","0","1"
"1022205","4","0","0","de","0","3","6","6","1","0"
"1022222","0","0","1","de","9","1","5","5","0","1"
"1022315","4","7","2","at","0","2","5","2","0","0"
"1022381","0","0","0","de","0","3","4","0","1","1"
"1022462",NULL,"0","0","de","15","1","0","0","0","1"
"1022491",NULL,"0","0","de","0","2","5","0","0","1"
"1022516","4","0","0","de","0","3","5","1","2","1"
"1022754","3","0","18","de","2","3","6","3","2","1"
"1022837","0","3","8","de","9","2","4","4","0","1.05"
"102285","4","0","13","de","2","1","4","4","0","1"
"1022858","3","14","21","de","6","3","5","4","0","1.02564"
"1023032",NULL,"0","0","de","1","3","4","0","1","1"
"1023085","0","0","23","de","7","1","3","2","0","1.05405"
"1023104","4","2","1","de","2","3","7","2","2","1"
"1023115",NULL,"0","0","de","0","1","0","0","0","1.12656"
"1023136","5","0","17","de","1","1","0","0","0","1"
"1023209","0","0","18","de","7","3","7","4","2","1"
"1023210",NULL,"0","0","de","7","3","4","0","0","1"
"1023498","4","3","8","de","2","3","6","2","2","1"
"1023722","4","3","15","de","10","3","5","3","1","1.125"
"1023777","0","0","0","de","0","1","0","0","1","1.33334"
"1024082","3","13","1","de","1","2","7","3","0","1.3"
"1024202",NULL,"0","0","de","9","1","0","0","1","1"
"1024208","2","0","9","de","10","3","4","3","2","0"
"1024396","4","0","0","de","0","2","6","0","2","1"
"1024405",NULL,"0","0","de","9","1","5","0","0","1"
"1024425","0","0","0","de","0","3","5","1","2","1"
"1024433","0","0","15","de","2","1","0","0","0","1"
"1024581",NULL,"0","0","at","0",NULL,NULL,NULL,"0","1.27778"
"1024583","3","0","0","de","0","3","4","4","3","1.33088"
"1024756","0","0","0","de","0","3","5","3","2","1"
"1024782","0","0","15","at","0","3","7","1","0","1"
"1024917","3","0","0","de","0","2","5","3","0","1"
"1024987","3","0","1","ch","0","1","7","7","0","1"
"1025024",NULL,"0","0","de","3","2","4","2","1","1"
"1025036","0","6","11","ch","0","3","7","3","0","1"
"1025056","3","13","23","de","2","1","3","3","0","1"
"102510","3","2","21","at","0","3","4","2","0","1.14584"
"1025122","3","7","15","de","7","3","5","3","2","1.46666"
"102518","2","0","0","de","0","2","4","1","1","1"
"102545",NULL,"0","0","de","2","3","3","0","1","1"
"1025484","5","0","0","ch","0","3","7","2","0","1"
"1025492","3","23","1","de","2","3","7","2","0","1.07408"
"1025513","4","0","21","de","10","3","7","4","0","1.11111"
"1025533","0","0","4","de","9","3","6","2","0","1"
"1025546","0","0","8","de","9","1","4","4","0","1"
"1025556","3","0","0","de","0","2","7","1","0","1"
"1025666","6","0","0","de","0","3","5","3","2","0"
"1025746","3","22","2","non_dach","0","3","6","2","2","1"
"1025784",NULL,"0","0","de","6","1","3","0","0","0"
"1026018","3","0","0","de","0","3","6","2","2","1"
"1026167",NULL,"0","0","de","10","3","5","0","0","1"
"1026168","0","0","15","de","2","2","7","7","0","1"
"1026173","3","3","1","de","1","2","4","2","0","1"
"1026175","3","0","0","de","0","3","3","2","2","1"
"1026208","3","3","21","de","1","3","7","2","0","1"
"102627",NULL,"0","0","de","2","2","5","0","0","1"
"1026299",NULL,"0","0","de","10","2","5","4","1","1"
"1026320","3","2","21","de","6","3","7","2","0","1"
"1026336","3","2","14","de","7","3","5","2","0","1"
"1026421","4","0","0","de","0","3","7","3","3","1"
"1026727","4","0","0","de","0","2","7","4","0","1"
"1026932",NULL,"0","0","de","9","2","4","0","0","1.04375"
"1026942",NULL,"0","0","de","2","3","3","1","1","1"
"1026975","4","3","8","de","1","3","5","1","2","1"
"1026978","3","0","0","de","0","3","4","3","0","1"
"1026986",NULL,"0","0","de","10","2","4","0","1","1"
"1027140","3","7","8","de","10","3","4","1","2","1"
"1027166",NULL,"0","0","de","11","1","0","0","0","0"
"1027225","4","18","1","ch","0","3","6","4","3","1"
"1027272","2","0","0","de","0","1","2","1","2","1.07979"
"1027342","3","0","5","de","0","2","4","3","1","1.4"
"1027437","0","0","4","at","0","3","7","2","0","1"
"102749",NULL,"0","0","de","7","2","4","1","2","1.0303"
"1027492",NULL,"0","0","de","1","2","4","0","0","1.60714"
"1027515","3","0","19","de","8","1","4","4","0","1"
"1027532","4","3","9","de","9","2","5","2","0","2"
"1027632","0","7","21","de","6","3","4","1","2","1.28235"
"1027706",NULL,"0","0","de","9","3","4","3","0","1.05556"
"1027945","1","0","0","de","0","1","3","2","0","1.125"
"1027966","6","0","0","de","0","1","4","4","2","1"
"1028034","0","0","15","ch","0","1","0","0","0","1"
"1028070","3","2","10","de","2","3","7","2","0","1"
"1028255","0","0","8","de","1","3","6","0","0","1"
"1028320","4","0","0","de","0","3","7","4","0","0"
"1028420","4","0","7","de","7","3","5","3","0","1"
"1028430","3","0","0","de","0","1","3","2","1","1"
"102845","0","0","0","de","0","3","1","1","0","1"
"1028510","0","0","0","de","0","1","6","5","2","1"
"1028554","4","2","14","de","2","3","6","1","0","1.07094"
"1028597","0","0","0","de","0","1","4","4","0","1"
"1028737","0","0","14","de","9","3","6","4","2","1.03846"
"1028747","3","0","21","de","9","3","6","2","0","1"
"1028764","5","0","8","de","9","2","7","3","0","1"
"1028766","0","0","11","de","0","1","4","2","0","0"
"102885",NULL,"0","0","de","2","3","4","0","2","1"
"1028957","4","0","21","de","1","2","5","2","0","1"
"1029012","0","0","1","de","9","2","5","1","0","1.1"
"1029014","0","0","11","non_dach","0","1","0","0","0","1"
"1029066","3","23","8","de","0","1","4","2","0","1"
"1029141","0","0","7","de","2","1","4","1","0","1"
"1029192","0","0","16","de","0","2","4","3","0","1"
"1029411",NULL,"0","0","de","10","3","4","0","2","1.07527"
"1029465","2","0","10","de","2","1","4","3","2","0"
"1029653",NULL,"0","0","de","3","3","4","2","1","1.09524"
"1029715","3","0","0","de","0","3","5","4","1","1"
"1029722","4","0","0","at","0","3","6","2","1","1.02667"
"1029737","4","0","0","de","0","1","6","3","0","1"
"1029809","3","14","4","non_dach","0","3","4","2","0","1"
"1029891","3","6","11","de","6","3","4","2","2","1.46264"
"1029909","0","23","21","de","10","1","3","3","0","1"
"1029923",NULL,"0","0","de","10","3","7","0","0","1.09375"
"1029938","6","0","21","de","2","2","7","4","0","1"
"1030040","0","0","22","at","0","3","6","2","3","1"
"1030087",NULL,"0","0","de","15","2","3","0","2","1.2"
"103017","4","0","8","de","3","2","6","5","0","1"
"103027",NULL,"0","0","de","9","3","5","0","0","1"
"1030296","0","0","21","de","3","3","5","1","2","0"
"1030304","4","12","16","de","0","1","4","4","0","1"
"1030329","0","0","0","de","0","3","7","1","2","1"
"103035","0","0","1","de","0","1","3","2","0","1"
"1030385",NULL,"0","0","de","13","1","0","0","0","1"
"103063",NULL,"0","0","ch","0","3","5","0","0","1"
"1030642",NULL,"0","0","de","1","1","0","0","1","1"
"1030691",NULL,"0","0","de","10","1","2","2","1","0"
"103079","0","0","0","de","0","3","6","4","0","1"
"1030801",NULL,"0","0","de","9","3","5","0","0","1.08334"
"1030958","0","0","21","de","2","1","0","0","0","1"
"103104","0","0","15","de","6","3","4","1","0","1.15555"
"1031043","0","0","15","de","9","3","6","4","0","1"
"1031108",NULL,"0","0","de","7","2","7","0","0","1"
"1031241","0","0","1","de","0","1","0","0","0","1.33335"
"1031358",NULL,"0","0","de","3","3","7","0","0","1"
"1031359","3","14","14","at","0","2","4","1","2","0"
"1031395","1","0","0","de","0","3","4","1","0","1"
"1031516","3","0","0","de","0","2","5","2","2","0"
"10316","6","2","14","de","9","2","5","2","0","1"
"1031623","3","0","0","de","0","3","7","6","2","1"
"103182","0","0","12","de","3","1","0","0","0","1"
"1031879","4","0","8","de","3","3","7","4","0","1.01613"
"1031938","2","5","20","de","2","3","4","2","1","1.16667"
"1032120","3","0","0","ch","0","1","4","3","3","1.06667"
"1032241","2","0","0","de","0","1","4","2","0","0"
"1032344","0","0","16","de","3","1","0","0","3","1.37779"
"1032383","4","0","1","de","2","3","7","3","0","1"
"1032406","3","0","0","de","0","2","6","1","0","1.26667"
"1032466","0","0","0","at","0","1","3","3","0","1"
"1032627",NULL,"0","0","de","2","3","4","0","1","1"
"1032649","0","0","0","de","0","3","6","4","0","1"
"1032713","0","0","4","de","7","2","3","2","0","0"
"1032730","2","0","0","de","0","3","4","1","1","1"
